City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
567,sao paulo de olivenca,-3.3783,-68.8725,22.94,98,84,0.4,BR,1675821367
568,elliot lake,46.3834,-82.6331,-3.21,87,85,4.01,CA,1675821237
569,klamath falls,42.2249,-121.7817,7.95,53,40,3.09,US,1675820901
570,luangwa,-15.6167,30.4167,20.98,97,0,0.49,ZM,1675821368
571,kaeo,-35.1,173.7833,24.09,50,27,3.04,NZ,1675821369
572,kutum,14.2,24.6667,11.92,35,20,4.43,SD,1675821370
573,valparaiso,-33.0393,-71.6273,16.8,88,0,1.03,CL,1675821371
574,coos bay,43.3665,-124.2179,10.55,47,100,3.6,US,1675821372
575,nome,64.5011,-165.4064,-21.58,71,0,1.54,US,1675821104
576,lewiston,44.1003,-70.2148,-0.88,82,100,0.45,US,1675821371
577,port blair,11.6667,92.75,27.02,74,40,4.12,IN,1675821337
578,fredericksburg,38.3032,-77.4605,12.45,60,0,4.12,US,1675821240
579,cotonou,6.3654,2.4183,26.32,83,90,3.79,BJ,1675821263
580,chapais,49.7834,-74.8492,-5.12,96,100,4.72,CA,1675821376
